timestamp,name,value
2025-05-18 12:34:16,Temperature 3,20.78550148010254
2025-05-18 12:34:16,Temperature 4,11.42724609375
2025-05-18 12:34:16,Temperature 5,16.29175567626953
2025-05-18 12:34:20,Temperature 1,14.254413604736328
2025-05-18 12:34:20,Temperature 2,21.565204620361328
2025-05-18 12:34:20,Temperature 3,20.78550148010254
2025-05-18 12:34:20,Temperature 4,11.42724609375
2025-05-18 12:34:20,Temperature 5,16.29175567626953
2025-05-18 12:34:26,Temperature 1,14.254413604736328
2025-05-18 12:34:26,Temperature 2,21.565204620361328
2025-05-18 12:34:26,Temperature 3,20.78550148010254
2025-05-18 12:34:26,Temperature 4,11.42724609375
2025-05-18 12:34:26,Temperature 5,16.29175567626953
2025-05-18 12:34:31,Temperature 1,14.254413604736328
2025-05-18 12:34:31,Temperature 2,21.565204620361328
2025-05-18 12:34:31,Temperature 3,20.78550148010254
2025-05-18 12:34:31,Temperature 4,11.42724609375
2025-05-18 12:34:31,Temperature 5,16.29175567626953
2025-05-18 12:34:35,Temperature 1,14.254413604736328
2025-05-18 12:34:35,Temperature 2,21.565204620361328
2025-05-18 12:34:35,Temperature 3,20.78550148010254
2025-05-18 12:34:35,Temperature 4,11.42724609375
2025-05-18 12:34:35,Temperature 5,16.29175567626953
2025-05-18 12:34:41,Temperature 1,14.254413604736328
2025-05-18 12:34:41,Temperature 2,21.565204620361328
2025-05-18 12:34:41,Temperature 3,20.78550148010254
2025-05-18 12:34:41,Temperature 4,11.42724609375
2025-05-18 12:34:41,Temperature 5,16.29175567626953
2025-05-18 12:34:46,Temperature 1,14.254413604736328
2025-05-18 12:34:46,Temperature 2,21.565204620361328
2025-05-18 12:34:46,Temperature 3,20.78550148010254
2025-05-18 12:34:46,Temperature 4,11.42724609375
2025-05-18 12:34:46,Temperature 5,16.29175567626953
2025-05-18 12:34:50,Temperature 1,14.254413604736328
2025-05-18 12:34:50,Temperature 2,21.565204620361328
2025-05-18 12:34:50,Temperature 3,20.78550148010254
2025-05-18 12:34:50,Temperature 4,11.42724609375
2025-05-18 12:34:50,Temperature 5,16.29175567626953
2025-05-18 12:34:55,Temperature 1,14.254413604736328
2025-05-18 12:34:55,Temperature 2,21.565204620361328
2025-05-18 12:34:55,Temperature 3,20.78550148010254
2025-05-18 12:34:55,Temperature 4,11.42724609375
2025-05-18 12:34:55,Temperature 5,16.29175567626953
2025-05-18 12:35:01,Temperature 1,14.254413604736328
2025-05-18 12:35:01,Temperature 2,21.565204620361328
2025-05-18 12:35:01,Temperature 3,20.78550148010254
2025-05-18 12:35:01,Temperature 4,11.42724609375
2025-05-18 12:35:01,Temperature 5,16.29175567626953
2025-05-18 12:37:15,Temperature 1,14.254413604736328
2025-05-18 12:37:15,Temperature 2,21.565204620361328
2025-05-18 12:37:15,Temperature 3,20.78550148010254
2025-05-18 12:37:15,Temperature 4,11.42724609375
2025-05-18 12:37:15,Temperature 5,16.29175567626953
2025-05-18 12:37:21,Temperature 1,14.254413604736328
2025-05-18 12:37:21,Temperature 2,21.565204620361328
2025-05-18 12:37:21,Temperature 3,20.78550148010254
2025-05-18 12:37:21,Temperature 4,11.42724609375
2025-05-18 12:37:21,Temperature 5,16.29175567626953
2025-05-18 12:37:26,Temperature 1,14.254413604736328
2025-05-18 12:37:26,Temperature 2,21.565204620361328
2025-05-18 12:37:26,Temperature 3,20.78550148010254
2025-05-18 12:37:26,Temperature 4,11.42724609375
2025-05-18 12:37:26,Temperature 5,16.29175567626953
2025-05-18 12:37:31,Temperature 1,14.254413604736328
2025-05-18 12:37:31,Temperature 2,21.565204620361328
2025-05-18 12:37:31,Temperature 3,20.78550148010254
2025-05-18 12:37:31,Temperature 4,11.42724609375
2025-05-18 12:37:31,Temperature 5,16.29175567626953
2025-05-18 12:37:36,Temperature 1,14.254413604736328
2025-05-18 12:37:36,Temperature 2,21.565204620361328
2025-05-18 12:37:36,Temperature 3,20.78550148010254
2025-05-18 12:37:36,Temperature 4,11.42724609375
2025-05-18 12:37:36,Temperature 5,16.29175567626953
2025-05-18 12:37:41,Temperature 1,14.254413604736328
2025-05-18 12:37:41,Temperature 2,21.565204620361328
2025-05-18 12:37:41,Temperature 3,20.78550148010254
2025-05-18 12:37:41,Temperature 4,11.42724609375
2025-05-18 12:37:41,Temperature 5,16.29175567626953
